song_id,title,hidden,author,themes,ccli_number,total_uses_all_time,scheduled_future_count,uses_last_365d,uses_last_90d,first_used_at,last_used_at,days_since_last_use,avg_gap_days_between_uses,all_use_dates,category_full_history
21896668,You Are Good,False,Israel Houghton,"Goodness, Life, , Mercy, God's Attributes, Faithfulness, Devotion, Worship, Declaration",3383788,12,0,3,1,2022-02-20T08:45:00+00:00,2026-02-22T10:00:00+00:00,5,132.9,2022-02-20T08:45:00Z; 2022-05-15T08:45:00Z; 2022-10-30T08:45:00Z; 2023-03-05T10:00:00Z; 2023-06-25T10:00:00Z; 2023-09-03T10:00:00Z; 2024-04-28T10:00:00Z; 2024-09-01T10:00:00Z; 2025-02-16T10:00:00Z; 2025-03-02T10:00:00Z; 2025-09-13T12:55:00Z; 2026-02-22T10:00:00Z,active_rotation
15710723,Speak O Lord,False,Keith Getty and Stuart Townend,"Nature, Petition, Voice, Voice of God",4615235,6,0,3,1,2018-06-17T10:00:00+00:00,2026-02-08T10:00:00+00:00,19,558.6,2018-06-17T10:00:00Z; 2020-10-25T10:00:00Z; 2024-08-25T10:00:00Z; 2025-07-20T10:00:00Z; 2025-08-24T10:00:00Z; 2026-02-08T10:00:00Z,active_rotation
21874137,Give Us Clean Hands,False,Charlie Hall,"Commitment, Integrity, jesus messiah, Refiners Fire, Repentance, Surrender, Forgiveness, Invitation, Prayer",2060208,8,0,3,1,2022-02-06T08:45:00+00:00,2026-01-25T10:00:00+00:00,33,206.9,2022-02-06T08:45:00Z; 2023-02-05T10:00:00Z; 2023-10-27T21:00:00Z; 2024-01-28T10:00:00Z; 2024-10-20T10:00:00Z; 2025-05-04T10:00:00Z; 2025-06-29T10:00:00Z; 2026-01-25T10:00:00Z,active_rotation
22363928,Judge Of The Secrets,False,Dave Fournier,"Judgment, Surrender",7001322,10,0,3,1,2022-05-15T08:45:00+00:00,2026-01-25T10:00:00+00:00,33,150.1,2022-05-15T08:45:00Z; 2022-08-07T08:45:00Z; 2022-11-06T08:45:00Z; 2024-01-14T10:00:00Z; 2024-01-28T10:00:00Z; 2024-02-11T10:00:00Z; 2024-10-13T10:00:00Z; 2025-06-15T10:00:00Z; 2025-11-16T10:00:00Z; 2026-01-25T10:00:00Z,active_rotation
19796116,Build Your Kingdom Here,False,Rend Collective Experiment,"Heaven, Kingdom of God, Prayer",6186078,12,0,3,1,2020-11-22T10:00:00+00:00,2025-12-28T10:00:00+00:00,61,169.1,2020-11-22T10:00:00Z; 2023-01-01T08:45:00Z; 2023-06-11T10:00:00Z; 2023-09-10T10:00:00Z; 2023-09-24T10:00:00Z; 2023-10-27T21:00:00Z; 2024-02-04T10:00:00Z; 2024-10-13T10:00:00Z; 2025-02-16T10:00:00Z; 2025-11-09T10:00:00Z; 2025-11-23T10:00:00Z; 2025-12-28T10:00:00Z,active_rotation
12100394,Wildfire,False,Steve Busch,,,25,0,3,1,2016-05-01T10:00:00+00:00,2025-12-28T10:00:00+00:00,61,146.9,2016-05-01T10:00:00Z; 2016-06-12T10:00:00Z; 2016-08-28T10:00:00Z; 2016-10-06T19:00:00Z; 2017-02-05T10:00:00Z; 2017-03-12T15:00:00Z; 2017-06-11T10:00:00Z; 2018-01-07T10:00:00Z; 2018-02-04T10:00:00Z; 2018-09-30T10:00:00Z; 2019-01-06T10:00:00Z; 2019-10-20T10:00:00Z; 2020-02-16T10:00:00Z; 2020-08-23T10:00:00Z; 2020-09-06T10:00:00Z; 2022-05-01T08:45:00Z; 2024-02-04T10:00:00Z; 2024-06-09T10:00:00Z; 2024-07-07T10:00:00Z; 2024-10-27T10:00:00Z; 2024-12-08T10:00:00Z; 2025-01-19T10:00:00Z; 2025-06-29T10:00:00Z; 2025-11-16T10:00:00Z; 2025-12-28T10:00:00Z,active_rotation
26130799,All My Hope,False,David Crowder and Ed Cash,,7068805,5,0,3,1,2024-04-21T10:00:00+00:00,2025-11-30T10:00:00+00:00,89,146.8,2024-04-21T10:00:00Z; 2024-08-18T10:00:00Z; 2025-08-31T10:00:00Z; 2025-09-13T12:55:00Z; 2025-11-30T10:00:00Z,active_rotation
27212208,He Has Made Me Glad,False,Leona Von Brethorst,"Rejoice, Thankfulness, Praise",1493,5,0,3,1,2024-11-24T10:00:00+00:00,2025-11-30T10:00:00+00:00,89,92.8,2024-11-24T10:00:00Z; 2024-12-29T10:00:00Z; 2025-03-02T10:00:00Z; 2025-11-02T10:00:00Z; 2025-11-30T10:00:00Z,active_rotation
16680332,Here I Am To Worship,False,Tim Hughes,", challenges of being a christian, How Great Is Our God, Jesus, lead me to the cross, Life Of Jesus, Light, Thankfulness, Word of God, Worship",3266032,11,0,3,1,2018-12-30T10:00:00+00:00,2025-11-30T10:00:00+00:00,89,252.5,2018-12-30T10:00:00Z; 2019-10-06T10:00:00Z; 2021-01-31T10:00:00Z; 2021-03-28T10:00:00Z; 2022-08-07T08:45:00Z; 2022-10-30T08:45:00Z; 2024-02-18T10:00:00Z; 2024-11-17T10:00:00Z; 2025-04-13T10:00:00Z; 2025-04-18T18:30:00Z; 2025-11-30T10:00:00Z,active_rotation
17525002,Cornerstone,False,"Edward Mote, Eric Liljero, Jonas Myrin, William Batchelder Bradbury, and Reuben Morgan",,6158927,10,0,3,0,2019-08-18T10:00:00+00:00,2025-11-09T10:00:00+00:00,110,252.6,2019-08-18T10:00:00Z; 2020-10-18T10:00:00Z; 2020-10-25T10:00:00Z; 2022-05-08T08:45:00Z; 2022-08-14T08:45:00Z; 2024-02-11T10:00:00Z; 2024-10-27T14:00:00Z; 2025-03-09T10:00:00Z; 2025-06-15T10:00:00Z; 2025-11-09T10:00:00Z,active_rotation
28200608,Raise A Hallelujah,False,"Jake Stevens, Jonathan Helser, Melissa Helser, and Molly Skaggs",,7119315,3,0,3,0,2025-05-18T10:00:00+00:00,2025-11-09T10:00:00+00:00,110,87.5,2025-05-18T10:00:00Z; 2025-08-10T10:00:00Z; 2025-11-09T10:00:00Z,active_rotation
28278441,House Of The Lord,False,Jonathan Smith and Phil Wickham,"Forgiveness, Grace, Joy, Praise, Redemption, Victory, Worship",7168995,3,0,3,0,2025-06-01T10:00:00+00:00,2025-10-26T10:00:00+00:00,124,73.5,2025-06-01T10:00:00Z; 2025-06-08T10:00:00Z; 2025-10-26T10:00:00Z,active_rotation
22694346,Good God Almighty,False,"Ben Glover, David Crowder, and Jeff Sojka","Almighty, Faithfulness, Goodness, Mercy, Praise",7168602,11,1,3,0,2022-07-24T08:45:00+00:00,2025-09-13T12:55:00+00:00,167,114.7,2022-07-24T08:45:00Z; 2022-08-21T08:45:00Z; 2022-10-02T08:45:00Z; 2023-02-05T10:00:00Z; 2023-04-23T10:00:00Z; 2023-10-15T10:00:00Z; 2024-05-19T10:00:00Z; 2024-06-02T10:00:00Z; 2025-05-04T10:00:00Z; 2025-09-07T10:00:00Z; 2025-09-13T12:55:00Z; 2026-03-01T10:00:00Z,active_rotation
