song_id,title,hidden,author,themes,ccli_number,total_uses_all_time,scheduled_future_count,uses_last_365d,uses_last_90d,first_used_at,last_used_at,days_since_last_use,avg_gap_days_between_uses,all_use_dates,category_full_history
22323657,Great In Power,False,Russell Fragar,"Creation, Power, Greatness, Praise",2582339,4,0,0,0,2022-05-01T08:45:00+00:00,2025-01-12T10:00:00+00:00,411,329.0,2022-05-01T08:45:00Z; 2024-03-24T10:00:00Z; 2024-05-19T10:00:00Z; 2025-01-12T10:00:00Z,retire_candidate
27458915,Let The New Year In,False,,,,1,0,0,0,2025-01-05T10:00:00+00:00,2025-01-05T10:00:00+00:00,418,,2025-01-05T10:00:00Z,retire_candidate
24598489,Above All,False,Paul Baloche and Lenny LeBlanc,"Majesty, Redeemer, Jesus, Kingship, God's Attributes, Cross, Victory, Communion",2672885,3,0,0,0,2023-07-23T10:00:00+00:00,2024-12-29T10:00:00+00:00,425,262.5,2023-07-23T10:00:00Z; 2023-12-03T10:00:00Z; 2024-12-29T10:00:00Z,retire_candidate
27432266,Bread Upon The Water,False,Bill Grein and Janny Grein,"Giving, Blessing, Love, Faith",17494,1,0,0,0,2024-12-29T10:00:00+00:00,2024-12-29T10:00:00+00:00,425,,2024-12-29T10:00:00Z,retire_candidate
25087846,Bringing In The Sheaves,False,Knowles Shaw and George A. Minor,"Rejoice, Service",47220,2,0,0,0,2023-10-22T10:00:00+00:00,2024-12-29T10:00:00+00:00,425,434.0,2023-10-22T10:00:00Z; 2024-12-29T10:00:00Z,retire_candidate
21267629,When The Roll Is Called Up Yonder,False,James M. Black,"Resurrection, Eternal Life, Heaven",31315,3,0,0,0,2021-10-10T08:45:00+00:00,2024-12-29T10:00:00+00:00,425,588.0,2021-10-10T08:45:00Z; 2024-04-21T10:00:00Z; 2024-12-29T10:00:00Z,retire_candidate
27428743,Do You Hear What I Hear,False,Gloria Shane and Noel Regney,"Light, Christmas, , Saviour",75687,1,0,0,0,2024-12-25T10:00:00+00:00,2024-12-25T10:00:00+00:00,429,,2024-12-25T10:00:00Z,retire_candidate
27403884,For Unto Us A Child Is Born / Open The Eyes Of My Heart,False,"George Frideric Handel, Michael Rossback, and Paul Baloche","Cleansing, Humility, Surrender, Christmas",7100943,1,0,0,0,2024-12-22T10:00:00+00:00,2024-12-22T10:00:00+00:00,432,,2024-12-22T10:00:00Z,retire_candidate
23111375,Lord Listen To Your Children Praying,False,Ken Medema,"Petition, Prayer",22829,4,0,0,0,2022-10-16T08:45:00+00:00,2024-12-08T10:00:00+00:00,446,261.3,2022-10-16T08:45:00Z; 2023-01-01T08:45:00Z; 2023-10-01T10:00:00Z; 2024-12-08T10:00:00Z,retire_candidate
27325571,Yes I Will,False,"Eddie Hoagland, Jonathan Smith, and Mia Fieldes",,7105442,1,0,0,0,2024-12-08T10:00:00+00:00,2024-12-08T10:00:00+00:00,446,,2024-12-08T10:00:00Z,retire_candidate
21839894,He Reigns,False,Peter Furler and Steve Taylor,"Nations, Reigns, Passion, Revival, , Singing, Praise",4026635,12,0,0,0,2022-01-30T08:45:00+00:00,2024-12-07T10:00:00+00:00,447,94.6,2022-01-30T08:45:00Z; 2022-10-16T08:45:00Z; 2023-02-19T10:00:00Z; 2023-05-28T10:00:00Z; 2023-10-22T10:00:00Z; 2024-02-25T10:00:00Z; 2024-03-15T10:00:00Z; 2024-04-12T18:30:00Z; 2024-05-17T10:00:00Z; 2024-05-26T10:00:00Z; 2024-10-27T10:00:00Z; 2024-12-07T10:00:00Z,retire_candidate
12100322,It Is Well With My Soul,False,Horatio G. Spafford and Philip Paul Bliss,"Revelation, Trials, Trust, Peace, Assurance, Testimony",25376,24,0,0,0,2016-05-01T10:00:00+00:00,2024-12-07T10:00:00+00:00,447,136.5,2016-05-01T10:00:00Z; 2016-07-03T10:00:00Z; 2016-09-11T10:00:00Z; 2016-10-02T17:30:00Z; 2017-03-05T15:00:00Z; 2017-07-16T10:00:00Z; 2017-09-17T10:00:00Z; 2018-01-07T10:00:00Z; 2018-08-19T10:00:00Z; 2018-12-02T10:00:00Z; 2019-07-07T10:00:00Z; 2019-11-17T10:00:00Z; 2020-02-23T10:00:00Z; 2020-04-26T10:00:00Z; 2020-05-17T10:00:00Z; 2020-07-12T10:00:00Z; 2020-08-23T10:00:00Z; 2020-08-23T10:00:00Z; 2020-11-15T10:00:00Z; 2021-02-14T10:00:00Z; 2021-07-25T08:45:00Z; 2021-12-12T08:45:00Z; 2022-10-23T08:45:00Z; 2024-12-07T10:00:00Z,retire_candidate
27294204,Somewhere In Your Silent Night,False,"Matthew West, Bernie Herms, and Mark Hall",,7101254,1,0,0,0,2024-12-07T10:00:00+00:00,2024-12-07T10:00:00+00:00,447,,2024-12-07T10:00:00Z,retire_candidate
22351385,The Blessing,False,"Chris Brown, Cody Carnes, Kari Jobe, and Steven Furtick",,7147007,5,1,0,0,2022-05-08T08:45:00+00:00,2024-12-07T10:00:00+00:00,447,236.0,2022-05-08T08:45:00Z; 2022-08-21T08:45:00Z; 2023-05-14T10:00:00Z; 2023-11-19T10:00:00Z; 2024-12-07T10:00:00Z; 2026-03-22T10:00:00Z,retire_candidate
27262180,O Come All Ye Faithful (His Name Shall Be),False,JD Myers and Kristian Stanfill,"Adoration, Advent, Birth, Christmas, Faithfulness, Invitation, Jesus",7163644,1,0,0,0,2024-12-01T10:00:00+00:00,2024-12-01T10:00:00+00:00,453,,2024-12-01T10:00:00Z,retire_candidate
27262325,The Perfect 10,False,Inc. Kid Connection and Kathie Hill,Power,110982,1,0,0,0,2024-12-01T10:00:00+00:00,2024-12-01T10:00:00+00:00,453,,2024-12-01T10:00:00Z,retire_candidate
21678435,We Three Kings Of Orient Are,False,John Henry Hopkins,"Seasonal, Christmas, Rejoice",38002,4,0,0,0,2021-12-26T08:45:00+00:00,2024-12-01T10:00:00+00:00,453,357.0,2021-12-26T08:45:00Z; 2022-12-25T08:45:00Z; 2023-12-03T10:00:00Z; 2024-12-01T10:00:00Z,retire_candidate
19176417,Doxology,False,Thomas Ken and Louis Bourgeois,"Benediction, Praise, Worship",56204,5,0,0,0,2020-06-07T10:00:00+00:00,2024-11-24T10:00:00+00:00,460,407.5,2020-06-07T10:00:00Z; 2022-06-26T08:45:00Z; 2022-08-21T08:45:00Z; 2024-06-30T10:00:00Z; 2024-11-24T10:00:00Z,retire_candidate
22481075,Come Lord Jesus (Even So Come),False,"Chris Tomlin, Jason Ingram, and Jess Cates",,7036288,8,0,0,0,2022-06-05T08:45:00+00:00,2024-11-17T10:00:00+00:00,467,128.0,2022-06-05T08:45:00Z; 2022-12-18T08:45:00Z; 2023-01-29T10:00:00Z; 2023-02-19T10:00:00Z; 2023-06-04T10:00:00Z; 2023-09-17T10:00:00Z; 2023-11-05T10:00:00Z; 2024-11-17T10:00:00Z,retire_candidate
19982215,Fall Afresh,False,Jeremy Riddle,,6032768,7,0,0,0,2021-01-03T10:00:00+00:00,2024-11-17T10:00:00+00:00,467,235.5,2021-01-03T10:00:00Z; 2021-01-17T10:00:00Z; 2021-04-18T10:00:00Z; 2021-06-24T18:30:00Z; 2021-06-27T08:45:00Z; 2021-08-01T08:45:00Z; 2024-11-17T10:00:00Z,retire_candidate
27179960,Wake Up,False,"Don Chaffer, David Leonard, and Leslie Jordan",Truth,6092272,1,0,0,0,2024-11-17T10:00:00+00:00,2024-11-17T10:00:00+00:00,467,,2024-11-17T10:00:00Z,retire_candidate
26770161,Love For Enemies,False,,,,2,0,0,0,2024-09-01T10:00:00+00:00,2024-11-10T10:00:00+00:00,474,70.0,2024-09-01T10:00:00Z; 2024-11-10T10:00:00Z,retire_candidate
27105049,Without A Cause,False,,,,1,1,0,0,2024-11-03T10:00:00+00:00,2024-11-03T10:00:00+00:00,481,,2024-11-03T10:00:00Z; 2026-03-01T10:00:00Z,retire_candidate
27072838,Heaven Changes Everything,False,"Jeff Pardo, Matthew West, and Mike Weaver",,7200360,1,0,0,0,2024-10-27T14:00:00+00:00,2024-10-27T14:00:00+00:00,488,,2024-10-27T14:00:00Z,retire_candidate
19176413,Jesus Loves The Little Children,False,George Frederick Root and Clare Herbert Woolston,"Children, God's Attributes, Love",58415,4,0,0,0,2020-06-07T10:00:00+00:00,2024-10-27T14:00:00+00:00,488,534.3,2020-06-07T10:00:00Z; 2023-03-12T10:00:00Z; 2024-04-07T10:00:00Z; 2024-10-27T14:00:00Z,retire_candidate
22219684,He Is Exalted,False,Twila Paris,"Kingship, Worship, Praise",17827,5,0,0,0,2022-04-10T08:45:00+00:00,2024-10-20T10:00:00+00:00,495,231.0,2022-04-10T08:45:00Z; 2022-06-19T08:45:00Z; 2023-07-16T10:00:00Z; 2024-03-03T10:00:00Z; 2024-10-20T10:00:00Z,retire_candidate
26994308,God Bless Our Native Land,False,"Charles Timothy Brooks, John Sullivan Dwight, Siegfried A. Mahlmann, Thomas Chesterton, and William E. Hickson",Patriotic,140385,1,0,0,0,2024-10-13T10:00:00+00:00,2024-10-13T10:00:00+00:00,502,,2024-10-13T10:00:00Z,retire_candidate
26943629,Is Anything Too Hard For My God?,False,,,,1,0,0,0,2024-10-06T10:00:00+00:00,2024-10-06T10:00:00+00:00,509,,2024-10-06T10:00:00Z,retire_candidate
14691427,Lord I Need You,False,"Daniel Carson, Matt Maher, Christy Nockels, and Jesse Reeves","Confession, Declaration, Praise, Worship",5925687,22,0,0,0,2017-11-19T10:00:00+00:00,2024-10-06T10:00:00+00:00,509,119.5,2017-11-19T10:00:00Z; 2018-04-08T10:00:00Z; 2018-06-09T07:00:00Z; 2018-11-22T10:00:00Z; 2019-02-03T10:00:00Z; 2019-07-14T10:00:00Z; 2020-03-22T10:00:00Z; 2020-09-20T10:00:00Z; 2020-10-18T10:00:00Z; 2021-02-07T10:00:00Z; 2021-02-28T10:00:00Z; 2021-03-28T10:00:00Z; 2021-04-25T10:00:00Z; 2021-06-06T10:00:00Z; 2021-06-20T08:45:00Z; 2021-06-24T18:30:00Z; 2023-03-05T10:00:00Z; 2023-08-20T10:00:00Z; 2024-04-12T18:30:00Z; 2024-07-21T10:00:00Z; 2024-08-11T10:00:00Z; 2024-10-06T10:00:00Z,retire_candidate
26796120,Let It Begin,False,Emily Weisband and Matt Maher,"Freedom, Healing, Mercy, Restoration",7234268,1,0,0,0,2024-09-29T10:00:00+00:00,2024-09-29T10:00:00+00:00,516,,2024-09-29T10:00:00Z,retire_candidate
22018303,You Won't Relent,False,"Cassandra Campbell, David Brymer, and Misty Edwards","Consecration, ",5370823,4,0,0,0,2022-03-20T08:45:00+00:00,2024-09-22T10:00:00+00:00,523,305.7,2022-03-20T08:45:00Z; 2023-03-19T10:00:00Z; 2024-01-21T10:00:00Z; 2024-09-22T10:00:00Z,retire_candidate
20397915,Turn Your Eyes Upon Jesus,False,,,,5,0,0,0,2021-04-04T10:00:00+00:00,2024-09-15T10:00:00+00:00,530,314.8,2021-04-04T10:00:00Z; 2022-04-03T08:45:00Z; 2022-07-24T08:45:00Z; 2023-06-04T10:00:00Z; 2024-09-15T10:00:00Z,retire_candidate
26841052,"Wake Up, My People",False,,,,1,0,0,0,2024-09-15T10:00:00+00:00,2024-09-15T10:00:00+00:00,530,,2024-09-15T10:00:00Z,retire_candidate
26778553,Anxious Heart,False,,,,1,0,0,0,2024-09-08T10:00:00+00:00,2024-09-08T10:00:00+00:00,537,,2024-09-08T10:00:00Z,retire_candidate
24747055,Be Still My Soul (In You I Rest),False,Kari Jobe,,6534077,2,0,0,0,2023-08-27T10:00:00+00:00,2024-09-08T10:00:00+00:00,537,378.0,2023-08-27T10:00:00Z; 2024-09-08T10:00:00Z,retire_candidate
19530837,What A Friend We Have In Jesus,False,Charles Crozat Converse and Joseph Medlicott Scriven,"Friendship, , Jesus, Prayer",27714,4,0,0,0,2020-09-20T10:00:00+00:00,2024-09-08T10:00:00+00:00,537,482.7,2020-09-20T10:00:00Z; 2022-04-24T08:45:00Z; 2023-02-26T10:00:00Z; 2024-09-08T10:00:00Z,retire_candidate
26768153,Enemies Medley,False,,,,2,0,0,0,2024-09-01T10:00:00+00:00,2024-09-01T10:00:00+00:00,544,0.0,2024-09-01T10:00:00Z; 2024-09-01T10:00:00Z,retire_candidate
